opinion_name,reference_name,opinion_id,reference_id
Test_93,"Historical Statistics of the United States, Colonial Times to the Present",000_1,52924698313788051190699199124395741487251299712906786371936587505258951985585685025738537167567918975022298276683889296651084838048306779050325285022878386190244156855216515249803264007414361196796230325134659
Test_93,Fundamentals of Private Pensions,000_1,96815178395432591242790201491932938225681512356034651003536752239627328884497137381655272396339187923185787725
Test_93,An Introduction to English Legal History,000_1,6976266239277774931370845137647860460026812009725118675083207869397243643862398441662725486339556120290027557678026019687850306
Test_93,Commentaries on the Constitution,000_1,377968574644864877942278937977655903664168580819375332782821490322846266354749393226464243384513735412380755
Test_93,The Making of the Constitution,000_1,1476999683028034916435576544440382190927241044802698078423228541865662767528982489400882280264132700823895
Test_93,Debates on the Federal Constitution,000_1,1623058446203427273840111922565058781417752485235482531057254840262822402761972375508591756756325863933851424162344005
Test_93,The Advice and Consent of the Senate,000_1,415581151185350252330717332183322247632159556625986514986084783032743725063464678523805950015420813997904234519960117576
Test_93,Military Manpower Statistics,000_1,5767355577025693915484874600504941025840641035777989368601883645945724940593522412526791581574426420548
Test_93,Military Criminal Justice: Practice and Procedure,000_1,141401739462148317974392824332573645329575395035159061002450491068919719944878876213338424265120314010200245864338907347629064698141817330843306963714116707155
Test_93,Military Law and Precedents,000_1,5765700187072855210300170285008032309986703341003188506187177686347797129565573675010025101301874846039
Test_93,Law of Torts,000_1,66243608591738078646590419140191420957878973272052451695882051
Test_93,State and Local Taxation,000_1,5770087504444636749857975968346307517574399478562333219618051617808327139041071742767764866468122748232
Test_93,"Property Assessment and Exemptions: They Need Reform, Table Cl",000_1,170960296186237296775981499109968855811888207876646738766520480807244854905147626424984152967684910329349738158061672453688404151719971619537900944061270242984136369803741811276084307
Test_93,"Exemption of Tangible Personalty, in Tax Exemptions",000_1,552715937000623276525777846150133153667837135514259143141126729769145315852121347493649701543712524127604008320923731406173467110715107838505094507711914314
Test_93,Law of Damages,000_1,66199521855799420058720773987229635013911898013504739090391368
Test_93,Rental Fee Recommendations,000_1,88052826616695566875073803804282808616338363860895652650219314694405040211985373046144444622140738
Test_93,The Dawes Act and the Allotment of Indian Lands,000_1,1962527952947529360494814789845650139716301203657725845540528242450645480452533276047971285040697332082226203527156135163333309176059498427471
Test_93,The Great Father,000_1,284379438460871718172088941725697439250873749642709443150447118208299600
Test_93,Handbook of Federal Indian Law,000_1,5766806628357462249348328178827089597862716040488466859749893825716000749662005248061084639505353830211
Test_93,The Dawes Act and the Allotment of Indian Lands,000_1,1962527952947529360494814789845650139716301203657725845540528242450645480452533276047971285040697332082226203527156135163333309176059498427471
Test_93,The Great Father,000_1,284379438460871718172088941725697439250873749642709443150447118208299600
Test_93,Handbook of Federal Indian Law,000_1,5766806628357462249348328178827089597862716040488466859749893825716000749662005248061084639505353830211
Test_93,The Closing of the Public Domain,000_1,96741678931973284256210141830449043329050008976364846045643141409170296992525397093584717714750702718755956048
Test_93,The Closing of the Public Domain,000_1,96741678931973284256210141830449043329050008976364846045643141409170296992525397093584717714750702718755956048
Test_93,Handbook of Federal Indian Law,000_1,5766806628357462249348328178827089597862716040488466859749893825716000749662005248061084639505353830211
Test_93,Indian Affairs: Laws and Treaties,000_1,6341854608476457602414689535774359991996834951687432112967288959310495798697193909411126754312151520279316961190219
Test_93,"Vices of the Political System of the United States, 2 Writings of James Madison",000_1,3811809172692319819556006666888837025670772212946659538148893180586731724341885949076424672627093326867929131249912959084851586586882142696954458862270535024197092882856418934355335542609888761184523427734033677960059455562061
Test_93,American Copyright Law,000_1,1221744597922060472972278132185561946790337035572164473513087812962308487501145431
Test_93,Of Human Bondage,000_1,72787359713236245556549541359746280538343575652587715188579933739734622541
Test_93,An Unhurried View of Copyright,000_1,1477001323466078506664845056513846101437743474096615496377113378185338695086754912636323338770217385877835
Test_93,The Fair Use Privilege in Copyright Law,000_1,27240721084580046949333273616130202286541732022752089595104602321451139923599152739187195353738381009821669110521412464173392
Test_93,"Preliminary Reflections on McKesson and American Trucking Associations, 48 Tax Notes",000_1,17999112876652361123330079923325121990368280619048569203289774385935112289087359823686428600936274371403262466689104798869621852966694311774711023192462171811580900724766236455667152790099903581083208409810926072598039539321565769914676336489424200
Test_93,Commentaries,000_1,284406186960203253132689613219052030466173791426151285605572194024385602
Test_93,"Legal Problems Relating to Refugees and Displaced Persons, in Hague Academy of Int'l Law, 149 Recui",000_1,332213715630295512093638593149984135669773068232622019244181147459612695714428261141369240501337899011873870151255216905916075059229389199908883330149491405031213111531521043883359027486304756392444296762648762401810239323306275512856595108842735823090936268623800395
Test_93,The Refugee in International Law,000_1,106388892909468254422476413127500480419314194649378024754317475630542299148042029208978749122422089580400699417409126100807
Test_93,The Status of Refugees in International Law,000_1,32922633624088220799358942509523736391616246477962696635774244227140905056268341869520621033307961837280277030152768988424896509407725383275333644871
Test_93,"Convention Relating to the Status of Refugees: Its History, Contents and Interpretation",000_1,18004207239679081301908737325182910458062090573738786977186627316874052656690016119767915002431811283173115366975832276186184615424054053407882377255957357216820427229143044562284965976174642028401774007188767917751518730488312496020023647773290322
Test_93,"Legal Problems Relating to Refugees and Displaced Persons, in Hague Academy of Int'l Law, 149 Reeue",000_1,332213715630295511646159133447202501336117898153069517110646111010707275686883732426758488604764534149724422471032244775629193107796742411565540675886666803201680725670373280697828967144810278469979460148122105871762150424773517594985394834400456267049136295990356043
Test_93,Handbook on Procedures and Criteria for Determining Refugee Status,000_1,48148420031173728174812686640287051615118022850738033829336258896426599940659441122737748114765769587320760371895381444143353414779701621223529516096088034923787175295545848653854617073521606944082
Test_93,The Refugee in International Law,000_1,106388892909468254422476413127500480419314194649378024754317475630542299148042029208978749122422089580400699417409126100807
Test_93,The Status of Refugees in International Law,000_1,32922633624088220799358942509523736391616246477962696635774244227140905056268341869520621033307961837280277030152768988424896509407725383275333644871
Test_93,"Convention Relating to the Status of Refugees: Its History, Contents and Interpretation",000_1,18004207239679081301908737325182910458062090573738786977186627316874052656690016119767915002431811283173115366975832276186184615424054053407882377255957357216820427229143044562284965976174642028401774007188767917751518730488312496020023647773290322
Test_93,The Price System,000_1,72801082326089825428180024887311188028953142738757208519805009932640743236
Test_93,Economics,000_1,66218524800506157080390889444624262198845150907392851153084755
Test_93,Economics and Federal Antitrust Law,000_1,27240721084580046949333273616222440422346488335757788378144300559198654830088198546032592682184274930695891078484798754680648
Test_93,The Antitrust Paradox,000_1,4772902749564020660937724449641624790186983161080271175039331680879277457436482
Test_93,Antitrust,000_1,258715056578313580513263512202189578850472258820554621744467
Test_93,Antitrust Law: An Economic Perspective,000_1,27243293247544547416561010507228434651357480219142602240491220221889593417519556461380967735902569058585706273329856564653904
Test_93,American Cigarette Industry,000_1,22522291386851417908872785969269360587700746593956306471514467500764689108734377880740892000841000276
Test_93,Industrial Market Structure and Economic Performance,000_1,36191980504649838791013764936178176106874789848136548067244381395397714409403910625201887350581022882905466512657049041982010025039928136639259777932484432913235
Test_93,Rights and Advocacy for Retarded People,000_1,106388892909468253778989605831069087704887734780150774999767489117537908537723343747230618201335564863048398208459890386248
Test_93,"Use of Behavior Therapy with the Mentally Retarded, in Psychiatric Approaches to Mental Retardation",000_1,5570451498105229968088053062246673170154241903915722901158374859033231134239326364104128704115042046354696829427521885526421730520611552281573157394527069951421497877674277253265740015612079385788286753606553705803133627232724562920252052632845535365265916773342101906809159
Test_93,"Pharmacological Intervention, in Handbook of Mental Retardation",000_1,667687518472738157707611560144790825833377625410240674730411275448873838973852621794092259876780959014332501105388979269291939597447805935090976722118893233130221817792433030786369
Test_93,Rights and Advocacy for Retarded People,000_1,106388892909468253778989605831069087704887734780150774999767489117537908537723343747230618201335564863048398208459890386248
Test_93,The History of English Law,000_1,88052631061241838881459364240552100364063217857353774061796934007491646760244191271425127710748496
Test_93,Habilitation of the Handicapped,000_1,1477001870278759694454894862880376800816722259406209452759823169435416458506971925855939974891415111167826
Test_93,"Medical Treatment of Mental Illness, 200 Science",000_1,32941364115390116553207459480431645960226955043413011513965730091901499198654511705090968038684156976070070388309842023082316872589775785692669044034
Test_93,"The Psychotherapies: Individual, Family, and Group, in The Harvard Guide to Modern Psychiatry",000_1,5070139972626125482499310823050528900654593839871593398659458667146503113140024658522947432944985785818794299794973044694835759837582500869722734381213008002005946701352055928829885964862560472730205304926646031664406052520325431422209525174062942646621033817421
Test_93,The Clinical Prediction of Violent Behavior,000_1,7664673977966462127894700239836672804988416220552927128270348398705259897576080124188439141028995315981955068346061141207966678393161674573
Test_93,Design and Analysis,000_1,4770641185321104320923875092561826987738096060249676753497901878082049026319691
Test_93,The Mentally Disabled and the Law,000_1,24775291498899648058189335264697375487458435145623454076359214847704387631882324570315408434627303175395446190658
Test_93,"Mental Retardation: Definition, Classification, and Systems of Support",000_1,3467160563142759807392031825809996648554946546548512069253947543968822999428653263667143953993358186228274892109448728839172034452840430397977963569409195561754236833511889382025555521486935242429044394795046561106
Test_93,"PoliceProsecutor Teams, 23 The Prosecutor",000_1,29962846436565730402420031639255424650383112745896514687747262090606767400339465223105021104993129832232662323912528071315766249166959938
Test_93,Actionable Defamation,000_1,1221859937698449202221609302299679331902924297914410250987892971778146910319636290
Test_93,Competency to Stand Trial,000_1,1342434669610827863686171648273550192725316226368266017434290288466181014455540646246753857362
Test_93,The Mentally Disabled and the Law,000_1,24775291498899648058189335264697375487458435145623454076359214847704387631882324570315408434627303175395446190658
Test_93,"Attorney General's Commission on Pornography, Final Report",000_1,10192929901980930477279750129716821784298403732355027714864626620948446481917650548898948811839834162815779263035515460995018098533131074650465319553431519981511564825992590666
Test_93,System of Freedom of Expression,000_1,96732576609341073660666315149392790969886170720256155089258833265842928838421409924027791674182230970936421701
Test_93,The Nature of the Judicial Process,000_1,1623054239963661528647374196991604308342296300541526659150381378528268569645952856861874602720051276709570811236868419
Test_93,Reliable Knowledge: An Exploration of the Grounds for Belief in Science,000_1,3155155851054684946532023281016365053270416474956889415789783327313193001957373253481733954355686403078353714969915367127477622716051621905005793899938143684637971713510063789107227174932348696548698458
Test_93,"The Philosophical Basis of Peer Review and the Suppression of Innovation, 263 JAMA",000_1,16370097797928211384287904432892309498493505186075706579453652907654663885150453175546302160584473482255199250675023341537374973981673236259631097656034517746995595315981306651269220085058330616360616134051945854148580180051700229500744
Test_93,The Fifth Branch: Science Advisors as Policymakers,000_1,141374923846288433447059503589673572878176543514869551552488274983754263950654285812585826176146587023787389788356738348123286357913101713800681740550010003786
Test_93,Conjectures and Refutations: The Growth of Scientific Knowledge,000_1,43790749126135224772675193138422624568504671729246013122438687378412156917926575283774644960596272017146951693820401756236680211760367635089334634730538316284232774276734144736769634128
Test_93,Philosophy of Natural Science,000_1,5768989607108173384500688773408879866239137304115830573609497931277156418217590510239110273098247398728
Test_93,"Problems, Cases, and Materials on Evidence",000_1,456936815703812438725572938000262177767077842169986383761673566245230540271365339384995533339616185720951904037829051450133877977671
Test_93,Constitutional Limitations,000_1,343890659561230270929474888737035092745532431357292348912568641526900243994688644034263908314947
Test_93,Commentaries on the Constitution of the United States,000_1,141414832819992990212821792646485364331341214033484542132192587852159808534087641805629403791446712827093619491658301239018203163045290354828855830371609048147
Test_93,Debates on the Federal Constitution,000_1,1623517783555936511238155458738101227110914730731128215890847255060198558331940391086398160861225950535865222132689989
Test_93,American Dictionary of the English Language,000_1,7669744802663251887708529728239215630608956323257227853666329487390691172325237531372839139577826645232421349151093005788413797405527532887
Test_93,"The LawDictionary: Explaining the Rise, Progress, and Present State, of the English Law",000_1,1072929294001149175936742303697073524162138053857700428714982964090265237097901160445423309845789926012536520117446727511469363915773529825098278616578487209916656244406473640049147151528000937271779481023759735558855643794207254252196421962
Test_93,A Critical Pronouncing Dictionary,000_1,24765906430891184953118273971816400812903354794730548485747443326573396005881594297034944704474313401206007685463
Test_93,A General Dictionary of the English Language,000_1,502264438263697174324010873601340357533241592518762307039910239439544059939727623751437849501038674976590175593214878171460180077581549005269075
Test_93,A New and Complete LawDictionary,000_1,415502653798677073122546310042340886408682389467677005101358684639150641489167694688059787184589934403971210422365615427
Test_93,Our Police Protectors: History of the New York Police,000_1,2373001480674868307320171910981002061209207661914449148171523007589626053288486820057584056919077363669787022608007097262259072253773806462554648462828670720563965763
Test_93,A New English Dictionary,000_1,5244864518111877412548468483727792740231439837699873242739961214089361914962574686049953099
Test_93,A Critical Pronouncing Dictionary,000_1,24765906430891184953118273971816400812903354794730548485747443326573396005881594297034944704474313401206007685463
Test_93,A General Dictionary of the English Language,000_1,502264438263697174324010873601340357533241592518762307039910239439544059939727623751437849501038674976590175593214878171460180077581549005269075
Test_93,English Navigation Laws,000_1,20501373531056731664756640681108811171967034043717059538809377452160357087181890565333320
Test_93,Democratic Representation: Reapportionment in Law and Politics,000_1,668129992560973542833229919005361695354449014764567790967761603978512258653434460667039092504750162185408050315806918529265462851272457139932646969055973645099035676112339898755396
Test_93,"Racial Gerrymandering and Legislative Reapportionment, in Minority Vote Dilution",000_1,3812904890108298607944627812878801205126804528091809700497131065003228082749343714755236095289500139405703500231777046843054004149880447858538113145392000066369440865419370032105814934241689264185702191676106914072440559788368
Test_93,North Carolina: People and Environments,000_1,106419153650227085241846215835287729532107420088626644336021729037258288958854636654523001300328031085709302923223640596807
Test_93,The History of a Southern State: North Carolina,000_1,128616231924369283391263857357124013362793149130398889537955241535918366696661174532088465846978280042360969997204201915068396779970747951835669836
Test_93,Law of Damages,000_1,18633557157882185492593213358631177032856811144037928671519246922151097562451
Test_93,Law of Damages,000_1,16953542985352171162365047270103138025565084379665185203456141638
Test_93,The American Jury,000_1,72814885818783406851239504587599566869285521946444085427931850018279678283
Test_93,"Aspects of American Trial Jury History, in The Jury System in America",000_1,48130170268703239101032905760575377549233289618772076884339073654484055388940987716376778040094994927483378591106979085777785423186383081954713599964118757918841063207424549690006684655978449566024
Test_93,The Litigation Explosion,000_1,20485877711221087337990832022390999712612584754606485486163333795596772353442822413839439
Test_93,"Special Report: Marketing State Lotteries, City and State",000_1,10190035272801092303602681586544723914448890722267877425661252506659550602477935166106463377578308448684329586665939746175835253744054451544310547458445951592110514948652426579
Test_93,Patents and The Federal Circuit,000_1,377897743264206186840800774596763256407111787137542277043693492674061075283834020685192048213855409519354184
Test_93,Five Issues in American Health,000_1,87986174799549902164953958326969921485573229620696188291443505877530496208987368786234125968297281
Test_93,Law Dictionary,000_1,1110751867589173550302004594920366121526581793901242431382327345377090
Test_93,The Contempt Power,000_1,1221283691129354122472344619365807510502885440809725001374772288818014864230084423
Test_93,Guidelines Manual,000_1,312619329530537613721955584797702452083187464251940712230824216083278554354540179267
Test_93,Battle Cry of Freedom,000_1,5247864014058574637524686411019027848333880219967384557997761356815721888619753611769963341
Test_93,"Report to the Attorney General, Religious Liberty under the Free Exercise Clause",000_1,976288726446522342422075008201191569297678886361679581203127706075987823663468096984424946033654838061808117793267274548332449571697206229285685347321646108071707612186427369075687620571935885060197506732602138591814322075432266
Test_93,South Florida Inside Out,000_1,343695995310741806721757096235691535482580214158582460821690806357093589205940096372943748425803
Test_93,Constitutional Limitations,000_1,343923760898522469918590108824089496993828677618233269579293761368738275797650301243206012989251
Test_93,Santería: The Religion,000_1,24784685669230743316467622459646444873127650694197232989509201410194408091496650642560818276232700879011270520647
Test_93,The Santería Experience,000_1,6340670943014739560547488393103326623788002487976426751533997594673848314004381000249689439101566142827019191086919
Test_93,Concise Encyclopedia of Islam,000_1,1477282385184213120202303820327744676838181943793364629202470964256428179547859675307989042262929452395591
Test_93,"E Cohen, Handbook of Federal Indian Law",000_1,6971641429746121273232462296509421999711788007181709107699776833559194129528020189311506435951222380426729384417216492967519041
Test_93,A Guide to the Indian Tribes of Oklahoma,000_1,1784568992519090358361896154831096833021680329586233707320696802476625699703062606347486509340443190893838684706565221588000141911
Test_93,Law of Antitrust,000_1,18642384518419677297449710246917328225694399515897223027524391060772691408211
Test_93,Commentary on Conflict of Laws,000_1,24763548785985778859394822447000810039913901984305898137678695313278119118719010826851213294670060901614020552023
Test_93,Reinsurance Practices,000_1,80015371259097115793587534563405906339742699953598937150849568542611074877521186612562
Test_93,"Underwriting the Reinsured, in Reinsurance",000_1,456806846811900525529030163642783693428014483123883768371576093000919621956334179491078908074120132769814501782232611518816736669511
Test_93,Reinsurance,000_1,258764096435621287644592779555288193573256892005095973216579
Test_93,"Regulation of Reinsurance in the United States, 19 Forum",000_1,607373207738320082994390554568982167055124099814247467123831666353415185229510290400351288797004557270365324039153515929421958554856888728467989808638789617210614773063
Test_93,Principles of Reinsurance,000_1,20483935042328861546481195240928509933705015862845993895977042156062910651052196760806743
Test_93,Boycotts and the Labor Struggle,000_1,96805932729136880810454349718300404916449865034564968246145538843283446085018708410169626289945116530776301900
Test_93,Law of Antitrust,000_1,18642384518419677297449710246917328225694399515897223027524391060772691408211
